排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優班/特色班,排序分數
,111427,臺南市私立育德工業家事職業學校,私立,臺南區免試入學日間部,技高,不限,臺南市,新營區,,,,汽車科:22(不限)；餐飲管理科:15(不限)；時尚造型科:16(不限),53,53,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,111C27,臺南市私立育德工業家事職業學校進修部,私立,臺南區免試入學進修部,技高,不限,臺南市,新營區,,,,餐飲管理科(夜間班):10(不限),10,10,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,114306,臺南市立大灣高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,永康區,,,,普通科:153(不限),153,153,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,114307,臺南市立永仁高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,永康區,,,,普通科:114(不限),114,114,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,114344,臺南市立沙崙國際高級中等學校,公立,臺南區免試入學日間部,高中,不限,臺南市,歸仁區,,,,普通科:86(不限),86,86,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,120304,國立岡山高級中學,公立,臺南區免試入學日間部,高中,不限,高雄市,岡山區,,,,普通科:10(不限),10,10,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,120311,國立旗美高級中學,公立,臺南區免試入學日間部,高中,不限,高雄市,旗山區,,,,普通科:10(不限)；家政群不分科:4(不限)；多媒體設計科:2(不限),16,16,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,120401,國立旗山高級農工職業學校,公立,臺南區免試入學日間部,技高,不限,高雄市,旗山區,,,,農場經營科:2(不限)；園藝科:2(不限)；畜產保健科:2(不限)；機械科:2(不限)；汽車科:2(不限)；電機科:2(不限)；生物產業機電科:2(不限)；家政科:2(不限),16,16,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,120402,國立岡山高級農工職業學校,公立,臺南區免試入學日間部,技高,不限,高雄市,岡山區,,,,園藝科:1(不限)；食品加工科:1(不限)；機械科:1(不限)；汽車科:2(不限)；資訊科:1(不限)；電子科:1(不限)；電機科:1(不限)；建築科:1(不限)；化工科:1(不限)；室內空間設計科:1(不限),11,11,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,121415,華德學校財團法人高雄市華德高級工業家事職業學校,私立,臺南區免試入學日間部,技高,不限,高雄市,茄萣區,,,,資訊科:23(不限)；飛機修護科:24(不限)；餐飲管理科:24(不限)；時尚造型科:23(不限)；烘焙科:24(不限),118,118,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,124322,高雄市立路竹高級中學,公立,臺南區免試入學日間部,高中,不限,高雄市,路竹區,,,,普通科:20(不限),20,20,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,200302,國立嘉義女子高級中學,公立,臺南區免試入學日間部,高中,女生,嘉義市,西區,,,,普通科:2(女生),2,2,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,200303,國立嘉義高級中學,公立,臺南區免試入學日間部,高中,男生,嘉義市,東區,,,,普通科:5(男生),5,5,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,200405,國立嘉義高級工業職業學校,公立,臺南區免試入學日間部,技高,不限,嘉義市,東區,,,,綜合高中:1(不限)；機械科:1(不限)；汽車科:1(不限)；電子科:1(不限)；電機科:1(不限)；建築科:1(不限)；化工科:1(不限)；電機空調科:1(不限)；製圖科:1(不限)；室內空間設計科:1(不限),10,10,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,200C05,國立嘉義高級工業職業學校進修部,公立,臺南區免試入學進修部,技高,不限,嘉義市,東區,,,,電子科(夜間班):3(不限)；電機科(夜間班):3(不限)；機電科(夜間班):3(不限)；室內空間設計科(夜間班):3(不限)；電腦機械製圖科(夜間班):3(不限),15,15,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,201304,嘉義市私立興華高級中學,私立,臺南區免試入學日間部,高中,不限,嘉義市,東區,,,,普通科:2(不限)；餐旅群不分科:4(不限),6,6,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,201312,嘉義市私立輔仁高級中學,私立,臺南區免試入學日間部,高中,不限,嘉義市,東區,,,,普通科:10(不限),10,10,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,201314,嘉義市私立立仁高級中學,私立,臺南區免試入學日間部,高中,不限,嘉義市,東區,,,,綜合高中:5(不限),5,5,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,201408,嘉義市私立東吳高級工業家事職業學校,私立,臺南區免試入學日間部,技高,不限,嘉義市,東區,,,,資訊科:2(不限)；資料處理科:2(不限)；餐飲管理科:4(不限)；幼兒保育科:2(不限)；時尚造型科:2(不限)；表演藝術科:2(不限),14,14,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,201C08,嘉義市私立東吳高級工業家事職業學校進修部,私立,臺南區免試入學進修部,技高,不限,嘉義市,東區,,,,餐飲管理科(夜間班):1(不限),1,1,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,210303,國立臺南第二高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,北區,,,,普通科:569(不限),569,569,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,210305,國立臺南第一高級中學,公立,臺南區免試入學日間部,高中,男生,臺南市,東區,,,,普通科:572(男生),572,572,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,210306,國立臺南女子高級中學,公立,臺南區免試入學日間部,高中,女生,臺南市,中西區,,,,普通科:570(女生),570,570,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,210309,國立臺南家齊高級中等學校,公立,臺南區免試入學日間部,高中,不限,臺南市,中西區,,,,普通科:109(男生)；普通科:207(女生)；餐飲管理科:28(不限)；流行服飾科:29(不限),373,373,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,210408,國立臺南高級商業職業學校,公立,臺南區免試入學日間部,技高,不限,臺南市,南區,,,,商業經營科:91(不限)；國際貿易科:95(不限)；會計事務科:32(不限)；資料處理科:61(不限)；廣告設計科:31(不限)；觀光事業科:28(不限)；應用英語科:32(不限),370,370,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,210416,國立臺南高級海事水產職業學校,公立,臺南區免試入學日間部,技高,不限,臺南市,安平區,,,,電子科:30(不限)；機電科:32(不限)；商業經營科:32(不限)；電子商務科:17(不限)；輪機科:30(不限)；水產養殖科:16(不限)；水產食品科:30(不限),187,187,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,210B05,國立臺南第一高級中學進修部,公立,臺南區免試入學進修部,高中,不限,臺南市,東區,,,,普通科(夜間班):11(不限),11,11,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,210C08,國立臺南高級商業職業學校進修部,公立,臺南區免試入學進修部,技高,不限,臺南市,南區,,,,商業經營科(夜間班):28(不限)；資料處理科(夜間班):28(不限)；觀光事業科(夜間班):27(不限)；餐飲管理科(夜間班):26(不限),109,109,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211301,臺南市私立長榮高級中學,私立,臺南區免試入學日間部,高中,不限,臺南市,東區,,,,普通科:255(不限)；電機科:81(不限)；廣告設計科:69(不限)；觀光事業科:81(不限)；多媒體設計科:38(不限),524,524,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211302,臺南市私立長榮女子高級中學,私立,臺南區免試入學日間部,高中,不限,臺南市,東區,,,,餐飲管理科:33(不限)；美容科:30(不限)；時尚造型科:39(不限),102,102,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211304,天主教聖功學校財團法人臺南市天主教聖功女子高級中學,私立,臺南區免試入學日間部,高中,女生,臺南市,北區,,,,普通科:163(女生),163,163,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211310,臺南光華學校財團法人臺南市光華高級中學,私立,臺南區免試入學日間部,高中,不限,臺南市,東區,,,,普通科:85(不限)；綜合高中:115(不限)；商業經營科:35(不限)；餐飲管理科:43(不限)；多媒體設計科:41(不限)；幼兒保育科:22(不限)；流行服飾科:25(不限),366,366,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211315,臺南市私立瀛海高級中學,私立,臺南區免試入學日間部,高中,不限,臺南市,安南區,,,,普通科:172(不限),172,172,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211317,崑山國際學校財團法人臺南市崑山高級中等學校,私立,臺南區免試入學日間部,高中,不限,臺南市,北區,,,,普通科:40(不限),40,40,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211318,臺南市德光高級中學,私立,臺南區免試入學日間部,高中,不限,臺南市,東區,,,,普通科:176(不限),176,176,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211320,慈濟學校財團法人臺南市私立慈濟高級中學,私立,臺南區免試入學日間部,高中,不限,臺南市,安平區,,,,普通科:118(不限),118,118,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211407,臺南市私立南英高級商工職業學校,私立,臺南區免試入學日間部,技高,不限,臺南市,中西區,,,,汽車科:19(不限)；電機空調科:35(不限)；餐飲管理科:53(不限)；應用日語科:16(不限)；電影電視科:21(不限)；多媒體動畫科:16(不限),160,160,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211412,臺南市亞洲高級餐旅職業學校,私立,臺南區免試入學日間部,技高,不限,臺南市,南區,,,,餐飲管理科:75(不限),75,75,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211419,臺南市私立慈幼高級工商職業學校,私立,臺南區免試入學日間部,技高,不限,臺南市,東區,,,,電機與電子群不分科:75(不限)；汽車科:30(不限)；烘焙科:36(不限),141,141,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211B14,臺南市六信高級中學進修部,私立,臺南區免試入學進修部,高中,不限,臺南市,南區,,,,資料處理科(夜間班):5(不限)；餐飲管理科(夜間班):5(不限)；照顧服務科(夜間班):5(不限),15,15,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211C07,臺南市私立南英高級商工職業學校進修部,私立,臺南區免試入學進修部,技高,不限,臺南市,中西區,,,,汽車科(夜間班):15(不限)；餐飲管理科(夜間班):15(不限),30,30,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211C12,臺南市亞洲高級餐旅職業學校進修部,私立,臺南區免試入學進修部,技高,不限,臺南市,南區,,,,烘焙科(夜間班):33(不限),33,33,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,211C19,臺南市私立慈幼高級工商職業學校進修部,私立,臺南區免試入學進修部,技高,不限,臺南市,東區,,,,汽車科(夜間班):19(不限)；資訊科(夜間班):19(不限),38,38,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,213303,臺南市立南寧高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,南區,,,,普通科:77(不限),77,77,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
,213316,臺南市立土城高級中學,公立,臺南區免試入學日間部,高中,不限,臺南市,安南區,,,,普通科:60(不限),60,60,,,115學年度臺南區免試入學招生名額（使用者提供 PDF；一般生名額與科別）,請以各校當年度公告為準,
